Timestamp,Data Size (bytes),CPU Usage (%),Memory Usage (%),Steps
1717439444.8115194,273,0.0,47.6,CU_TO_DEV
1717439454.735379,322,5.2,47.3,OCC_TO_CU
1717439454.735984,322,0.0,47.3,OCC_TO_CU
1717439454.8237588,273,25.7,47.5,CU_TO_DEV
1717439454.8237956,273,25.7,47.5,CU_TO_DEV
1717439461.5393715,154,4.4,47.4,OCC_TO_CU
1717439461.6274314,241,37.1,47.6,CU_TO_DEV
1717439461.6282897,241,0.0,47.6,CU_TO_DEV
1717439464.7422078,322,3.6,47.4,OCC_TO_CU
1717439464.7428455,322,0.0,47.4,OCC_TO_CU
1717439464.829596,273,23.5,47.6,CU_TO_DEV
1717439464.830185,273,0.0,47.6,CU_TO_DEV
1717439474.787069,322,4.0,47.4,OCC_TO_CU
1717439474.7877333,322,0.0,47.4,OCC_TO_CU
1717439474.834628,273,33.3,47.6,CU_TO_DEV
1717439474.8347147,273,33.3,47.6,CU_TO_DEV
1717439484.773061,322,3.6,47.4,OCC_TO_CU
1717439484.7738936,322,0.0,47.4,OCC_TO_CU
1717439484.841839,273,23.1,47.6,CU_TO_DEV
1717439484.8419228,273,23.1,47.6,CU_TO_DEV
1717439494.809018,322,3.7,47.4,OCC_TO_CU
1717439494.8101127,322,0.0,47.4,OCC_TO_CU
1717439494.8478525,273,46.7,47.6,CU_TO_DEV
1717439494.847556,273,46.7,47.6,CU_TO_DEV
1717439504.7999904,322,4.8,47.4,OCC_TO_CU
1717439504.8006673,322,100.0,47.4,OCC_TO_CU
1717439504.8554823,273,28.6,47.6,CU_TO_DEV
1717439504.8553684,273,28.6,47.6,CU_TO_DEV
1717439511.301566,154,4.2,47.5,OCC_TO_CU
1717439511.4591537,241,11.1,47.7,CU_TO_DEV
1717439511.4592936,241,11.1,47.7,CU_TO_DEV
1717439514.8064306,322,9.2,47.4,OCC_TO_CU
1717439514.8069727,322,0.0,47.4,OCC_TO_CU
1717439514.861283,273,22.7,47.6,CU_TO_DEV
1717439514.8617017,273,0.0,47.6,CU_TO_DEV
1717439524.819557,322,4.0,47.4,OCC_TO_CU
1717439524.8334868,322,40.0,47.4,OCC_TO_CU
1717439524.867601,273,61.5,47.6,CU_TO_DEV
1717439524.868644,273,100.0,47.6,CU_TO_DEV
1717439534.8391926,322,3.7,47.4,OCC_TO_CU
1717439534.8398535,322,0.0,47.4,OCC_TO_CU
1717439534.8729312,273,46.2,47.5,CU_TO_DEV
1717439534.874404,273,0.0,47.6,CU_TO_DEV
1717439544.8433676,322,5.3,47.4,OCC_TO_CU
1717439544.8438933,322,0.0,47.4,OCC_TO_CU
1717439544.879254,273,43.7,47.6,CU_TO_DEV
1717439544.8806465,273,0.0,47.6,CU_TO_DEV
1717439554.872274,322,3.9,47.5,OCC_TO_CU
1717439554.872932,322,0.0,47.5,OCC_TO_CU
1717439554.885292,273,40.0,47.5,CU_TO_DEV
1717439554.885852,273,0.0,47.5,CU_TO_DEV
1717439561.379075,154,4.6,47.6,OCC_TO_CU
1717439561.4893625,241,18.2,47.8,CU_TO_DEV
1717439561.490741,241,0.0,47.8,CU_TO_DEV
1717439564.8939629,322,5.1,47.6,OCC_TO_CU
1717439564.8946004,322,0.0,47.6,OCC_TO_CU
1717439565.0915542,273,57.0,47.7,CU_TO_DEV
1717439565.0922513,273,0.0,47.7,CU_TO_DEV
1717439574.8882966,322,3.9,47.4,OCC_TO_CU
1717439574.8964624,322,33.3,47.4,OCC_TO_CU
1717439574.8972137,273,100.0,47.4,CU_TO_DEV
1717439574.8972914,273,100.0,47.4,CU_TO_DEV
1717439575.0984871,273,16.5,47.7,CU_TO_DEV
1717439575.0989716,273,0.0,47.7,CU_TO_DEV
1717439584.8914855,322,4.0,47.5,OCC_TO_CU
1717439584.8922162,322,0.0,47.5,OCC_TO_CU
1717439584.904164,273,0.0,47.5,CU_TO_DEV
1717439584.903899,273,25.0,47.5,CU_TO_DEV
