Timestamp,Data Size (bytes),CPU Usage (%),Memory Usage (%),Steps
1717485558.5360835,322,0.0,45.5,OCC_TO_CU
1717485558.6978948,273,15.4,45.6,CU_TO_DEV
1717485558.7168994,273,44.4,45.6,CU_TO_DEV
1717485568.5724165,322,4.3,45.5,OCC_TO_CU
1717485568.5755126,322,50.0,45.5,OCC_TO_CU
1717485568.7029383,273,21.2,45.5,CU_TO_DEV
1717485568.7213013,273,28.6,45.5,CU_TO_DEV
1717485578.5629532,322,4.6,45.5,OCC_TO_CU
1717485578.5744507,322,25.0,45.5,OCC_TO_CU
1717485578.7087955,273,24.1,45.6,CU_TO_DEV
1717485578.7278047,273,50.0,45.6,CU_TO_DEV
1717485588.588935,322,4.3,45.4,OCC_TO_CU
1717485588.5900197,322,0.0,45.4,OCC_TO_CU
1717485588.7139287,273,14.3,45.6,CU_TO_DEV
1717485588.7321239,273,28.6,45.6,CU_TO_DEV
1717485598.5880609,322,3.3,45.5,OCC_TO_CU
1717485598.5888536,322,50.0,45.5,OCC_TO_CU
1717485598.7192101,273,14.3,45.6,CU_TO_DEV
1717485598.7376993,273,28.6,45.6,CU_TO_DEV
1717485608.6077368,322,3.4,45.6,OCC_TO_CU
1717485608.6084962,322,0.0,45.6,OCC_TO_CU
1717485608.7247157,273,23.4,45.6,CU_TO_DEV
1717485608.743021,273,37.5,45.6,CU_TO_DEV
1717485618.6346989,322,3.4,45.6,OCC_TO_CU
1717485618.6353464,322,0.0,45.6,OCC_TO_CU
1717485618.7301455,273,24.3,45.7,CU_TO_DEV
1717485618.7488086,273,37.5,45.7,CU_TO_DEV
1717485628.6357532,322,4.2,45.5,OCC_TO_CU
1717485628.63646,322,0.0,45.5,OCC_TO_CU
1717485628.736923,273,24.4,45.6,CU_TO_DEV
1717485628.7575755,273,33.3,45.6,CU_TO_DEV
1717485638.6769652,322,3.3,45.6,OCC_TO_CU
1717485638.6790745,322,0.0,45.6,OCC_TO_CU
1717485638.743932,273,38.5,45.7,CU_TO_DEV
1717485638.7625134,273,28.6,45.7,CU_TO_DEV
1717485648.664671,322,3.2,45.7,OCC_TO_CU
1717485648.6747174,322,33.3,45.7,OCC_TO_CU
1717485648.749794,273,54.8,45.8,CU_TO_DEV
1717485648.7684186,273,37.5,45.8,CU_TO_DEV
1717485658.6815298,322,3.6,45.7,OCC_TO_CU
1717485658.6824129,322,0.0,45.7,OCC_TO_CU
1717485658.7576325,273,83.9,45.8,CU_TO_DEV
1717485658.7751777,273,100.0,45.8,CU_TO_DEV
1717485668.7087877,322,5.9,45.5,OCC_TO_CU
1717485668.7093477,322,0.0,45.5,OCC_TO_CU
1717485668.7696013,273,31.8,45.6,CU_TO_DEV
1717485668.7804859,273,20.0,45.6,CU_TO_DEV
1717485678.7193973,322,3.1,45.5,OCC_TO_CU
1717485678.7200384,322,0.0,45.5,OCC_TO_CU
1717485678.7747076,273,45.5,45.6,CU_TO_DEV
1717485678.7842722,273,25.0,45.6,CU_TO_DEV
1717485688.7181306,322,3.4,45.5,OCC_TO_CU
1717485688.719241,322,0.0,45.5,OCC_TO_CU
1717485688.7791584,273,44.0,45.7,CU_TO_DEV
1717485688.788418,273,50.0,45.7,CU_TO_DEV
1717485698.7272756,322,3.6,45.6,OCC_TO_CU
1717485698.7280786,322,0.0,45.6,OCC_TO_CU
1717485698.7865303,273,90.9,45.7,CU_TO_DEV
1717485698.7948601,273,100.0,45.7,CU_TO_DEV
1717485708.7424965,322,3.9,45.6,OCC_TO_CU
1717485708.7436545,322,0.0,45.6,OCC_TO_CU
1717485708.7998147,273,38.1,45.7,CU_TO_DEV
1717485708.800475,273,0.0,45.7,CU_TO_DEV
1717485718.7572107,322,4.5,45.5,OCC_TO_CU
1717485718.7590163,322,0.0,45.5,OCC_TO_CU
1717485718.8056846,273,41.2,45.6,CU_TO_DEV
1717485718.8057497,273,41.2,45.6,CU_TO_DEV
1717485728.7641237,322,3.4,45.6,OCC_TO_CU
1717485728.7674763,322,50.0,45.6,OCC_TO_CU
1717485728.8114407,273,57.9,45.6,CU_TO_DEV
1717485728.8115008,273,57.9,45.6,CU_TO_DEV
1717485738.7748787,322,3.6,45.6,OCC_TO_CU
1717485738.7761915,322,0.0,45.6,OCC_TO_CU
1717485738.8174238,273,40.0,45.7,CU_TO_DEV
1717485738.8184116,273,0.0,45.7,CU_TO_DEV
1717485748.7884514,322,3.4,45.7,OCC_TO_CU
1717485748.7917018,322,100.0,45.7,OCC_TO_CU
1717485748.8231392,273,46.2,45.8,CU_TO_DEV
1717485748.823806,273,46.2,45.8,CU_TO_DEV
1717485758.8214817,322,4.3,45.6,OCC_TO_CU
1717485758.8262618,322,0.0,45.6,OCC_TO_CU
1717485758.832852,273,100.0,45.6,CU_TO_DEV
1717485758.834617,273,0.0,45.6,CU_TO_DEV
1717485768.8424482,322,5.1,45.5,OCC_TO_CU
1717485768.8430512,322,0.0,45.5,OCC_TO_CU
1717485768.8434103,273,0.0,45.5,CU_TO_DEV
1717485769.0405934,273,7.8,45.6,CU_TO_DEV
1717485769.0438519,273,33.3,45.6,CU_TO_DEV
1717485778.8327937,322,3.2,45.5,OCC_TO_CU
1717485778.8359141,322,0.0,45.5,OCC_TO_CU
1717485778.8460371,273,75.0,45.5,CU_TO_DEV
1717485778.8489199,273,100.0,45.5,CU_TO_DEV
1717485788.861105,322,3.8,45.6,OCC_TO_CU
1717485788.8624103,322,0.0,45.6,OCC_TO_CU
1717485789.0538723,273,10.3,45.7,CU_TO_DEV
1717485789.0568817,273,0.0,45.7,CU_TO_DEV
1717485798.8589454,322,3.8,45.6,OCC_TO_CU
1717485798.861412,273,50.0,45.6,CU_TO_DEV
1717485798.8634493,322,0.0,45.6,OCC_TO_CU
1717485799.0598776,273,19.0,45.7,CU_TO_DEV
1717485799.062179,273,0.0,45.7,CU_TO_DEV
1717485808.879318,322,4.9,45.6,OCC_TO_CU
1717485808.879989,322,0.0,45.6,OCC_TO_CU
1717485809.0662792,273,9.2,45.7,CU_TO_DEV
1717485809.0698147,273,0.0,45.7,CU_TO_DEV
1717485818.898555,322,3.6,45.6,OCC_TO_CU
1717485818.899431,322,0.0,45.6,OCC_TO_CU
1717485819.0721831,273,8.8,45.7,CU_TO_DEV
1717485819.0749316,273,0.0,45.7,CU_TO_DEV
