Timestamp,Data Size (bytes),CPU Usage (%),Memory Usage (%),Steps
1717485287.915081,154,89.1,33.7,OCC_TO_CU
1717485287.9209018,241,100.0,33.7,CU_TO_DEV
1717485287.9242783,241,100.0,33.7,CU_TO_DEV
1717485288.1458545,154,44.8,34.1,OCC_TO_CU
1717485288.1493585,154,100.0,34.1,OCC_TO_CU
1717485298.160947,322,4.0,33.0,OCC_TO_CU
1717485298.1630948,322,0.0,33.0,OCC_TO_CU
1717485298.3285854,273,24.2,33.3,CU_TO_DEV
1717485298.3302686,273,0.0,33.3,CU_TO_DEV
1717485308.2222028,322,4.2,32.4,OCC_TO_CU
1717485308.2227554,322,0.0,32.4,OCC_TO_CU
1717485308.3373594,273,40.4,32.7,CU_TO_DEV
1717485308.3374321,273,40.4,32.7,CU_TO_DEV
1717485318.1907492,322,4.1,32.4,OCC_TO_CU
1717485318.1915898,322,100.0,32.4,OCC_TO_CU
1717485318.3423097,273,28.1,32.6,CU_TO_DEV
1717485318.342248,273,28.1,32.6,CU_TO_DEV
1717485328.193868,322,2.9,32.3,OCC_TO_CU
1717485328.1945508,322,0.0,32.3,OCC_TO_CU
1717485328.3473384,273,27.9,32.6,CU_TO_DEV
1717485328.3471863,273,27.9,32.6,CU_TO_DEV
1717485338.2155645,322,2.8,32.3,OCC_TO_CU
1717485338.2162778,322,0.0,32.3,OCC_TO_CU
1717485338.3533587,273,30.2,32.6,CU_TO_DEV
1717485338.3536043,273,0.0,32.6,CU_TO_DEV
1717485348.2053912,322,2.8,32.4,OCC_TO_CU
1717485348.2060726,322,0.0,32.4,OCC_TO_CU
1717485348.358187,273,86.9,32.6,CU_TO_DEV
1717485348.3636937,273,100.0,32.6,CU_TO_DEV
1717485358.2344573,322,3.4,32.1,OCC_TO_CU
1717485358.235167,322,0.0,32.1,OCC_TO_CU
1717485358.3735437,273,34.5,32.3,CU_TO_DEV
1717485358.3733907,273,34.5,32.3,CU_TO_DEV
1717485368.2345324,322,2.3,32.1,OCC_TO_CU
1717485368.2351203,322,0.0,32.1,OCC_TO_CU
1717485368.3791573,273,30.5,32.4,CU_TO_DEV
1717485368.379412,273,0.0,32.4,CU_TO_DEV
1717485378.258393,322,2.4,32.1,OCC_TO_CU
1717485378.259046,322,0.0,32.1,OCC_TO_CU
1717485378.384477,273,42.3,32.5,CU_TO_DEV
1717485378.3843374,273,42.3,32.5,CU_TO_DEV
1717485388.2700818,322,3.7,32.1,OCC_TO_CU
1717485388.270769,322,0.0,32.1,OCC_TO_CU
1717485388.3898807,273,41.3,32.4,CU_TO_DEV
1717485388.394319,273,0.0,32.4,CU_TO_DEV
1717485398.2789135,322,3.0,32.1,OCC_TO_CU
1717485398.2795928,322,50.0,32.1,OCC_TO_CU
1717485398.396384,273,36.4,32.4,CU_TO_DEV
1717485398.4001296,273,0.0,32.4,CU_TO_DEV
1717485408.288481,322,2.8,32.2,OCC_TO_CU
1717485408.2891092,322,0.0,32.2,OCC_TO_CU
1717485408.4020581,273,45.7,32.5,CU_TO_DEV
1717485408.4041133,273,0.0,32.5,CU_TO_DEV
1717485418.2998824,322,3.3,32.1,OCC_TO_CU
1717485418.300529,322,0.0,32.1,OCC_TO_CU
1717485418.4072485,273,50.0,32.4,CU_TO_DEV
1717485418.4091425,273,0.0,32.4,CU_TO_DEV
1717485428.3335855,322,3.3,32.1,OCC_TO_CU
1717485428.335646,322,100.0,32.1,OCC_TO_CU
1717485428.4145522,273,51.7,32.3,CU_TO_DEV
1717485428.4146535,273,51.7,32.3,CU_TO_DEV
1717485438.3345904,322,2.5,32.1,OCC_TO_CU
1717485438.3393946,322,66.7,32.1,OCC_TO_CU
1717485438.4195614,273,56.7,32.3,CU_TO_DEV
1717485438.4205055,273,0.0,32.3,CU_TO_DEV
1717485448.3339372,322,3.0,32.2,OCC_TO_CU
1717485448.3433218,322,50.0,32.2,OCC_TO_CU
1717485448.4247255,273,75.0,32.5,CU_TO_DEV
1717485448.4262755,273,0.0,32.5,CU_TO_DEV
1717485458.355311,322,3.9,32.2,OCC_TO_CU
1717485458.356617,322,0.0,32.2,OCC_TO_CU
1717485458.4320674,273,37.0,32.4,CU_TO_DEV
1717485458.4365401,273,0.0,32.4,CU_TO_DEV
1717485468.374657,322,2.8,32.1,OCC_TO_CU
1717485468.3755198,322,0.0,32.1,OCC_TO_CU
1717485468.4365857,273,47.8,32.5,CU_TO_DEV
1717485468.4416277,273,50.0,32.5,CU_TO_DEV
1717485478.3669417,322,2.8,32.3,OCC_TO_CU
1717485478.3679266,322,100.0,32.3,OCC_TO_CU
1717485478.4433212,273,90.0,32.4,CU_TO_DEV
1717485478.4480853,273,100.0,32.4,CU_TO_DEV
1717485488.3762798,322,3.5,32.2,OCC_TO_CU
1717485488.3777773,322,0.0,32.2,OCC_TO_CU
1717485488.449406,273,63.0,32.4,CU_TO_DEV
1717485488.4521024,273,50.0,32.4,CU_TO_DEV
1717485498.3987179,322,3.6,32.1,OCC_TO_CU
1717485498.401456,322,50.0,32.1,OCC_TO_CU
1717485498.45513,273,36.8,32.3,CU_TO_DEV
1717485498.4571722,273,100.0,32.3,CU_TO_DEV
1717485508.420104,322,2.9,32.1,OCC_TO_CU
1717485508.4220047,322,0.0,32.1,OCC_TO_CU
1717485508.4607222,273,66.7,32.3,CU_TO_DEV
1717485508.4640136,273,100.0,32.3,CU_TO_DEV
1717485518.4467475,322,3.1,32.2,OCC_TO_CU
1717485518.4476914,322,100.0,32.2,OCC_TO_CU
1717485518.4689534,273,42.9,32.2,CU_TO_DEV
1717485518.4719117,273,100.0,32.2,CU_TO_DEV
1717485528.4472752,322,5.2,32.0,OCC_TO_CU
1717485528.448034,322,0.0,32.0,OCC_TO_CU
1717485528.4799871,273,58.3,32.1,CU_TO_DEV
1717485528.48466,273,100.0,32.1,CU_TO_DEV
1717485538.4735873,322,3.4,32.1,OCC_TO_CU
1717485538.4745462,322,0.0,32.1,OCC_TO_CU
1717485538.4908278,273,71.4,32.1,CU_TO_DEV
1717485538.4940891,273,100.0,32.1,CU_TO_DEV
1717485548.493072,322,3.2,32.2,OCC_TO_CU
1717485548.496486,322,0.0,32.2,OCC_TO_CU
1717485548.503557,273,66.7,32.1,CU_TO_DEV
1717485548.5040414,273,0.0,32.1,CU_TO_DEV
1717485558.4889357,322,3.2,32.2,OCC_TO_CU
1717485558.4925396,322,0.0,32.2,OCC_TO_CU
1717485558.5127583,273,75.0,32.2,CU_TO_DEV
1717485558.5156193,273,100.0,32.3,CU_TO_DEV
1717485568.5181868,322,4.8,32.1,OCC_TO_CU
1717485568.522829,273,0.0,32.1,CU_TO_DEV
1717485568.5225675,273,0.0,32.1,CU_TO_DEV
1717485568.5246866,322,100.0,32.1,OCC_TO_CU
1717485568.723594,273,30.4,32.4,CU_TO_DEV
1717485568.7243469,273,0.0,32.4,CU_TO_DEV
1717485578.520112,322,3.9,31.9,OCC_TO_CU
1717485578.5335515,273,60.0,31.9,CU_TO_DEV
1717485578.5346005,273,0.0,31.9,CU_TO_DEV
1717485578.535007,322,0.0,31.9,OCC_TO_CU
1717485578.7342896,273,25.6,32.3,CU_TO_DEV
1717485578.7355483,273,0.0,32.3,CU_TO_DEV
1717485588.5392072,322,3.0,32.0,OCC_TO_CU
1717485588.5400455,322,0.0,32.0,OCC_TO_CU
1717485588.5414317,273,0.0,32.0,CU_TO_DEV
1717485588.5426888,273,0.0,32.0,CU_TO_DEV
1717485598.535587,322,3.0,32.0,OCC_TO_CU
1717485598.5368898,322,0.0,32.0,OCC_TO_CU
1717485598.5487454,273,60.0,32.0,CU_TO_DEV
1717485598.5497549,273,0.0,32.0,CU_TO_DEV
1717485608.5637836,322,3.1,32.1,OCC_TO_CU
1717485608.5672483,322,50.0,32.1,OCC_TO_CU
1717485608.7640874,273,68.8,32.3,CU_TO_DEV
1717485608.7643857,273,0.0,32.3,CU_TO_DEV
1717485618.5837588,322,2.8,32.0,OCC_TO_CU
1717485618.5845418,322,0.0,32.0,OCC_TO_CU
1717485618.772065,273,17.6,32.3,CU_TO_DEV
1717485618.774218,273,0.0,32.3,CU_TO_DEV
1717485628.5827277,322,3.7,31.9,OCC_TO_CU
1717485628.5864978,322,50.0,31.9,OCC_TO_CU
1717485628.78286,273,17.1,32.3,CU_TO_DEV
1717485628.7834847,273,100.0,32.3,CU_TO_DEV
1717485638.6232939,322,4.9,31.8,OCC_TO_CU
1717485638.624251,322,0.0,31.8,OCC_TO_CU
1717485638.7925427,273,12.3,32.1,CU_TO_DEV
1717485638.792692,273,12.3,32.1,CU_TO_DEV
1717485648.6011767,322,2.7,31.8,OCC_TO_CU
1717485648.607893,322,66.7,31.8,OCC_TO_CU
1717485648.7993495,273,26.3,32.1,CU_TO_DEV
1717485648.7993898,273,26.3,32.1,CU_TO_DEV
1717485658.6187658,322,2.8,31.9,OCC_TO_CU
1717485658.6209042,322,0.0,31.9,OCC_TO_CU
1717485658.8080852,273,13.7,32.2,CU_TO_DEV
1717485658.8085527,273,0.0,32.2,CU_TO_DEV
1717485668.6538498,322,3.2,31.9,OCC_TO_CU
1717485668.6547706,322,0.0,31.9,OCC_TO_CU
1717485668.8196309,273,16.4,32.2,CU_TO_DEV
1717485668.8195868,273,16.4,32.2,CU_TO_DEV
1717485678.6676526,322,2.9,32.0,OCC_TO_CU
1717485678.6685264,322,0.0,32.0,OCC_TO_CU
1717485678.8265753,273,17.2,32.3,CU_TO_DEV
1717485678.8264298,273,17.2,32.3,CU_TO_DEV
1717485688.667754,322,2.8,32.1,OCC_TO_CU
1717485688.6698027,322,0.0,32.1,OCC_TO_CU
1717485688.8328078,273,11.3,32.4,CU_TO_DEV
1717485688.8337336,273,0.0,32.4,CU_TO_DEV
1717485698.6890252,322,3.8,32.0,OCC_TO_CU
1717485698.6898892,322,0.0,32.0,OCC_TO_CU
1717485698.8399885,273,15.3,32.3,CU_TO_DEV
1717485698.8403916,273,0.0,32.3,CU_TO_DEV
1717485708.699305,322,3.1,32.0,OCC_TO_CU
1717485708.703935,322,100.0,32.0,OCC_TO_CU
1717485708.8477297,273,65.5,32.3,CU_TO_DEV
1717485708.8484838,273,0.0,32.3,CU_TO_DEV
1717485718.7180188,322,2.6,32.0,OCC_TO_CU
1717485718.7187114,322,0.0,32.0,OCC_TO_CU
1717485718.8539915,273,13.5,32.3,CU_TO_DEV
1717485718.8544848,273,0.0,32.3,CU_TO_DEV
1717485728.7384527,322,2.6,32.1,OCC_TO_CU
1717485728.7392235,322,50.0,32.1,OCC_TO_CU
1717485728.8605537,273,89.4,32.4,CU_TO_DEV
1717485728.8666651,273,100.0,32.4,CU_TO_DEV
1717485738.7441163,322,3.0,32.0,OCC_TO_CU
1717485738.7448976,322,0.0,32.0,OCC_TO_CU
1717485738.8689947,273,89.8,32.3,CU_TO_DEV
1717485738.8750627,273,100.0,32.3,CU_TO_DEV
1717485748.7565935,322,3.7,31.8,OCC_TO_CU
1717485748.757178,322,0.0,31.8,OCC_TO_CU
1717485748.8840399,273,17.3,32.1,CU_TO_DEV
1717485748.8844388,273,0.0,32.1,CU_TO_DEV
1717485758.7843835,322,2.6,31.8,OCC_TO_CU
1717485758.7850332,322,0.0,31.8,OCC_TO_CU
