Timestamp,DataTimestamp,CPU Usage (%),Memory Usage (%),Steps
1717495503.2503393,"{'21001': '1,1717495501', '11002': '1,1717495502', '11001': '1,1717495502', '21002': '1,1717495501'}",11.8,14.8,DEV_TO_OCC
1717495503.25139,"{'21001': '1,1717495502', '11002': '1,1717495502', '11001': '1,1717495502', '21002': '1,1717495502'}",0.0,14.8,DEV_TO_OCC
1717495504.171836,"{'21001': '1,1717495502', '11002': '1,1717495503', '11001': '1,1717495503', '21002': '1,1717495502'}",1.9,14.8,DEV_TO_OCC
1717495504.172854,"{'21001': '1,1717495503', '11002': '1,1717495503', '11001': '1,1717495503', '21002': '1,1717495503'}",100.0,14.8,DEV_TO_OCC
1717495504.1956255,9,25.0,14.8,OCC_TO_CU
1717495504.196815,10,66.7,14.8,OCC_TO_CU
1717495504.1978278,11,0.0,14.8,OCC_TO_CU
1717495504.1989694,12,0.0,14.8,OCC_TO_CU
1717495505.0928671,"{'21001': '0,1717495504', '11002': '1,1717495503', '11001': '1,1717495503', '21002': '1,1717495504'}",3.8,14.8,DEV_TO_OCC
1717495505.1660013,"{'21001': '0,1717495504', '11002': '1,1717495504', '11001': '0,1717495504', '21002': '1,1717495504'}",7.0,14.8,DEV_TO_OCC
1717495506.0142167,"{'21001': '0,1717495505', '11002': '1,1717495504', '11001': '0,1717495504', '21002': '0,1717495505'}",5.5,14.8,DEV_TO_OCC
1717495506.2188857,"{'21001': '0,1717495505', '11002': '0,1717495505', '11001': '0,1717495505', '21002': '0,1717495505'}",10.0,14.8,DEV_TO_OCC
1717495507.2437437,"{'21001': '0,1717495505', '11002': '0,1717495506', '11001': '0,1717495506', '21002': '0,1717495505'}",6.1,14.8,DEV_TO_OCC
1717495507.2447147,"{'21001': '0,1717495506', '11002': '0,1717495506', '11001': '0,1717495506', '21002': '0,1717495506'}",83.3,14.8,DEV_TO_OCC
1717495508.0621552,"{'21001': '0,1717495507', '11002': '0,1717495506', '11001': '0,1717495506', '21002': '0,1717495507'}",6.4,14.8,DEV_TO_OCC
1717495508.2673316,"{'21001': '0,1717495507', '11002': '0,1717495507', '11001': '0,1717495507', '21002': '0,1717495507'}",5.7,14.8,DEV_TO_OCC
1717495509.1363318,"{'21001': '0,1717495508', '11002': '0,1717495507', '11001': '0,1717495507', '21002': '0,1717495508'}",10.4,14.8,DEV_TO_OCC
1717495509.2012777,"{'21001': '0,1717495508', '11002': '0,1717495508', '11001': '0,1717495508', '21002': '0,1717495508'}",7.8,14.8,DEV_TO_OCC
1717495510.0083354,"{'21001': '0,1717495509', '11002': '0,1717495508', '11001': '0,1717495508', '21002': '0,1717495509'}",4.4,14.8,DEV_TO_OCC
1717495510.2126386,"{'21001': '0,1717495509', '11002': '0,1717495509', '11001': '0,1717495509', '21002': '0,1717495509'}",7.0,14.8,DEV_TO_OCC
1717495511.0319574,"{'21001': '0,1717495510', '11002': '0,1717495509', '11001': '0,1717495509', '21002': '0,1717495510'}",4.5,14.7,DEV_TO_OCC
