Timestamp,DataTimestamp,CPU Usage (%),Memory Usage (%),Steps
1717494643.719168,"{'21001': '1,1717494643', '11002': '1,1717494643', '21002': '1,1717494642', '11001': '1,1717494642'}",9.5,14.6,DEV_TO_OCC
1717494644.8072026,9,1.0,14.6,OCC_TO_CU
1717494644.8083577,10,0.0,14.6,OCC_TO_CU
1717494644.809412,11,75.0,14.6,OCC_TO_CU
1717494644.8105993,12,0.0,14.6,OCC_TO_CU
1717494644.840697,"{'21001': '1,1717494644', '11002': '1,1717494643', '21002': '1,1717494643', '11001': '1,1717494642'}",77.5,14.6,DEV_TO_OCC
1717494644.8417737,"{'21001': '1,1717494644', '11002': '1,1717494644', '21002': '1,1717494643', '11001': '1,1717494643'}",0.0,14.6,DEV_TO_OCC
1717494645.849318,"{'21001': '0,1717494645', '11002': '1,1717494644', '21002': '1,1717494644', '11001': '1,1717494643'}",2.4,14.6,DEV_TO_OCC
1717494645.8501954,"{'21001': '0,1717494645', '11002': '0,1717494645', '21002': '1,1717494644', '11001': '1,1717494644'}",0.0,14.6,DEV_TO_OCC
1717494646.7707617,"{'21001': '0,1717494646', '11002': '0,1717494645', '21002': '0,1717494645', '11001': '1,1717494644'}",4.0,14.6,DEV_TO_OCC
1717494646.7717142,"{'21001': '0,1717494646', '11002': '0,1717494646', '21002': '0,1717494645', '11001': '0,1717494645'}",0.0,14.6,DEV_TO_OCC
1717494647.6924667,"{'21001': '0,1717494647', '11002': '0,1717494646', '21002': '0,1717494646', '11001': '0,1717494645'}",1.1,14.6,DEV_TO_OCC
1717494647.721482,"{'21001': '0,1717494647', '11002': '0,1717494647', '21002': '0,1717494646', '11001': '0,1717494646'}",15.6,14.6,DEV_TO_OCC
1717494648.9215047,"{'21001': '0,1717494648', '11002': '0,1717494647', '21002': '0,1717494647', '11001': '0,1717494646'}",0.9,14.6,DEV_TO_OCC
1717494648.9225242,"{'21001': '0,1717494648', '11002': '0,1717494648', '21002': '0,1717494647', '11001': '0,1717494647'}",0.0,14.6,DEV_TO_OCC
1717494649.8439958,"{'21001': '0,1717494648', '11002': '0,1717494649', '21002': '0,1717494647', '11001': '0,1717494648'}",1.2,14.6,DEV_TO_OCC
1717494649.8453305,"{'21001': '0,1717494649', '11002': '0,1717494649', '21002': '0,1717494648', '11001': '0,1717494648'}",66.7,14.6,DEV_TO_OCC
1717494650.7646484,"{'21001': '0,1717494649', '11002': '0,1717494650', '21002': '0,1717494648', '11001': '0,1717494649'}",1.3,14.6,DEV_TO_OCC
1717494650.76576,"{'21001': '0,1717494650', '11002': '0,1717494650', '21002': '0,1717494649', '11001': '0,1717494649'}",0.0,14.6,DEV_TO_OCC
1717494651.685826,"{'21001': '0,1717494651', '11002': '0,1717494650', '21002': '0,1717494650', '11001': '0,1717494649'}",1.2,14.6,DEV_TO_OCC
1717494651.7725775,"{'21001': '0,1717494651', '11002': '0,1717494651', '21002': '0,1717494650', '11001': '0,1717494650'}",4.9,14.6,DEV_TO_OCC
1717494652.915017,"{'21001': '0,1717494651', '11002': '0,1717494652', '21002': '0,1717494650', '11001': '0,1717494651'}",0.8,14.6,DEV_TO_OCC
